"category","index","accuracy"
"Model 10","5326","2"
"Model 10","3013","4"
"Actual","5388","1"
"Model 9","8550","1"
"Actual","9242","4"
"Model 9","11674","4"
"Actual","6620","1"
"Actual","3339","4"
"Model 9","10665","1"
"Actual","9195","2"
"Actual","3391","2"
"Model 9","2018","3"
"Model 10","11043","2"
"Actual","5585","2"
"Model 10","2124","3"
"Model 10","14778","2"
"Model 9","2743","4"
"Model 9","8536","3"
"Actual","9856","2"
"Actual","858","3"
"Model 10","801","4"
"Model 10","14352","4"
"Actual","14878","1"
"Model 10","6525","4"
"Actual","11678","2"
"Model 9","9492","2"
"Model 9","9705","4"
"Model 10","7003","4"
"Model 9","7281","4"
"Actual","11418","4"
"Model 9","6338","4"
"Model 9","8760","4"
"Model 10","4845","3"
"Model 9","11307","2"
"Actual","14872","4"
"Actual","2819","3"
"Model 9","4139","3"
"Model 9","1522","4"
"Model 10","3481","1"
"Model 10","9039","1"
"Model 10","8297","4"
"Actual","12297","1"
"Model 10","10574","1"
"Actual","6040","3"
"Actual","12652","0"
"Model 10","13172","2"
"Actual","14446","2"
"Actual","13148","3"
"Model 10","3856","4"
"Actual","13947","4"
"Model 10","9533","2"
"Model 9","12684","2"
"Model 9","2377","2"
"Model 9","10207","1"
"Model 9","3928","3"
"Model 9","10114","2"
"Actual","5231","2"
"Actual","2813","3"
"Model 9","2797","2"
"Model 9","13111","4"
"Model 10","11621","4"
"Model 9","13683","2"
"Model 9","8558","4"
"Actual","11969","4"
"Model 10","11324","4"
"Model 10","5871","2"
"Model 9","1167","3"
"Model 9","6895","1"
"Model 9","3709","1"
"Actual","8783","4"
"Model 10","3006","2"
"Model 10","5411","4"
"Model 10","9724","3"
"Actual","11145","2"
"Model 9","1890","3"
"Actual","11231","1"
"Actual","6711","1"
"Model 9","13323","4"
"Actual","11701","2"
"Model 9","9982","3"
"Model 9","4792","1"
"Model 10","2442","4"
"Actual","3373","1"
"Model 10","11253","1"
"Model 10","9333","4"
"Actual","13452","2"
"Model 9","2524","1"
"Model 10","6631","3"
"Model 9","4228","2"
"Actual","6323","1"
"Model 10","5749","4"
"Actual","10920","2"
"Actual","9873","1"
"Model 10","5241","1"
"Model 9","5261","4"
"Model 10","8630","4"
"Model 9","13474","4"
"Model 10","4485","2"
"Model 10","792","2"
"Model 10","790","4"
"Model 9","7651","2"
"Actual","1740","1"
"Actual","1873","3"
"Model 9","1406","1"
"Model 9","13789","2"
"Actual","10729","3"
"Model 10","14753","3"
"Model 9","9427","4"
"Actual","13551","4"
"Model 10","14821","2"
"Model 9","435","4"
"Model 9","5388","4"
"Model 10","10184","2"
"Model 10","3312","2"
"Model 9","351","2"
"Actual","14768","1"
"Model 10","6508","4"
"Model 9","4233","2"
"Model 10","7167","4"
"Model 10","13312","4"
"Model 9","4777","4"
"Model 10","5287","2"
"Model 10","10643","4"
"Model 9","7547","2"
"Model 9","5729","4"
"Actual","2800","2"
"Model 10","1315","4"
"Actual","4184","2"
"Model 10","5913","2"
"Actual","10871","4"
"Actual","6809","2"
"Model 10","9201","4"
"Actual","10996","3"
"Actual","1060","1"
"Actual","5260","4"
"Model 9","14537","4"
"Model 9","13293","3"
"Model 10","44","4"
"Model 10","6139","3"
"Model 10","7547","2"
"Model 10","12318","2"
"Model 9","442","2"
"Actual","3357","2"
"Actual","6723","2"
"Model 10","4161","4"
"Actual","14462","3"
"Model 9","13889","4"
"Actual","8295","1"
"Actual","9153","2"
"Actual","913","2"
"Model 10","5729","1"
"Model 10","899","4"
"Actual","9639","1"
"Model 10","8196","4"
"Actual","14742","3"
"Model 9","7928","2"
"Model 10","12297","2"
"Actual","11416","1"
"Model 10","6930","4"
"Model 10","13619","4"
"Actual","6952","1"
"Model 10","13782","1"
"Model 10","13111","4"
"Model 9","7466","4"
"Actual","14094","2"
"Actual","2014","4"
"Model 10","13607","4"
"Actual","6970","1"
"Actual","405","4"
"Model 9","8138","2"
"Model 10","6338","4"
"Model 10","3505","4"
"Actual","1070","2"
"Model 10","2227","1"
"Model 9","7477","4"
"Model 10","12523","2"
"Actual","2303","2"
"Model 10","11414","3"
"Actual","2362","2"
"Model 10","13951","2"
"Actual","2081","3"
"Model 9","8540","1"
"Actual","368","2"
"Model 10","4575","3"
"Model 9","10496","4"
"Actual","14522","4"
"Actual","7281","2"
"Model 10","8428","3"
"Model 10","9820","4"
"Model 9","6651","4"
"Model 9","11820","1"
"Model 9","6567","2"
"Actual","7231","4"
"Model 10","2206","2"
"Model 10","4258","4"
"Actual","4431","4"
"Model 10","6661","4"
"Actual","14340","3"
"Actual","9531","2"
"Actual","14708","1"
"Actual","274","2"
"Model 9","7970","3"
"Model 10","10095","3"
"Model 9","12221","1"
"Actual","3300","4"
"Model 9","9223","1"
"Model 10","10606","4"
"Model 9","4535","4"
"Model 9","10118","4"
"Model 10","574","1"
"Actual","12221","3"
"Model 10","2641","1"
"Model 10","10493","2"
"Actual","8280","2"
"Model 9","14359","4"
"Actual","6631","2"
"Model 9","2411","2"
"Model 10","13915","4"
"Model 9","14261","1"
"Actual","14699","3"
"Model 10","924","1"
"Actual","11134","2"
"Actual","7130","4"
"Model 10","9768","3"
"Actual","99","2"
"Actual","13888","3"
"Actual","4126","2"
"Model 10","4597","2"
"Actual","1120","4"
"Model 9","3329","2"
"Actual","301","4"
"Model 9","14542","3"
"Model 9","10108","2"
"Model 9","1480","4"
"Actual","3105","3"
"Actual","4610","2"
"Model 10","2081","2"
"Model 10","4921","1"
"Actual","13688","4"
"Actual","12414","3"
"Model 9","12985","3"
"Model 9","14259","4"
"Model 9","9046","2"
"Model 10","1720","3"
"Actual","14517","4"
"Actual","14834","2"
"Model 9","6960","3"
"Model 9","13898","3"
"Actual","142","3"
"Model 10","6559","1"
"Model 10","12694","2"
"Model 9","3014","2"
"Model 9","1860","2"
"Actual","3895","3"
"Model 9","5659","1"
"Actual","10515","2"
"Model 9","8351","4"
"Model 9","12877","4"
"Model 9","1011","4"
"Model 10","3913","3"
"Model 10","10816","2"
"Actual","3765","2"
"Actual","7154","1"
"Actual","5363","2"
"Model 9","430","4"
"Model 9","4694","1"
"Model 10","12715","1"
"Actual","3669","2"
"Actual","11047","2"
"Model 10","8153","1"
"Model 9","5590","2"
"Model 9","146","4"
"Actual","12846","1"
"Actual","2856","2"
"Actual","1407","3"
"Actual","2442","4"
"Actual","2802","4"
"Actual","7863","4"
"Actual","10095","2"
"Model 10","11916","1"
"Actual","8384","2"
"Actual","6161","3"
"Model 9","12720","1"
"Model 10","10556","4"
"Model 9","5063","2"
"Model 9","14756","4"
"Actual","4487","4"
"Model 9","63","3"
"Model 10","12498","2"
"Actual","2102","1"
"Model 9","2581","3"
"Actual","7415","1"
"Actual","3933","3"
"Model 10","4822","3"
"Model 9","1966","4"
"Model 9","2321","3"
"Model 9","11896","1"
"Model 9","13296","2"
"Actual","12497","2"
"Actual","9769","3"
"Model 9","7330","4"
"Model 10","13314","3"
"Model 9","1321","2"
"Model 9","3891","3"
"Model 10","2785","3"
"Actual","14079","2"
"Actual","14100","2"
"Model 10","7272","2"
"Model 10","9572","1"
"Model 10","7929","2"
"Actual","104","2"
"Actual","4643","1"
"Actual","4175","2"
"Model 10","4828","2"
"Model 10","3019","1"
"Model 9","1518","4"
"Model 10","3844","4"
"Model 9","11055","4"
"Model 9","3006","2"
"Model 9","11111","4"
"Model 9","12011","4"
"Model 9","13551","3"
"Actual","107","1"
"Model 10","3733","3"
"Model 10","2385","2"
"Actual","10965","2"
"Model 10","11201","4"
"Actual","3152","1"
"Model 9","10277","2"
"Model 9","9488","4"
"Model 9","6238","4"
"Model 10","4398","4"
"Model 9","9137","1"
"Model 10","5393","2"
"Model 10","1154","3"
"Model 9","2784","1"
"Model 9","674","2"
"Model 9","14335","4"
"Model 10","840","4"
"Actual","6558","3"
"Model 10","470","2"
"Model 10","12371","2"
"Model 10","13467","2"
"Actual","14251","2"
"Actual","649","2"
"Model 9","10557","2"
"Model 9","11141","4"
"Model 9","2811","4"
"Actual","9137","2"
"Actual","5542","2"
"Model 10","12169","2"
"Model 10","8005","2"
"Model 10","1955","2"
"Model 9","1544","4"
"Model 9","13723","1"
"Actual","2528","3"
"Actual","949","4"
"Actual","4114","3"
"Model 9","7950","2"
"Model 9","10539","1"
"Model 10","11711","4"
"Model 10","649","4"
"Model 10","2349","2"
"Model 9","12853","4"
"Model 9","4029","1"
"Model 10","3544","3"
"Model 9","10210","4"
"Model 9","6077","4"
"Actual","7381","3"
"Model 10","14398","4"
"Model 9","897","4"
"Actual","8730","3"
"Actual","9751","1"
"Model 9","2938","1"
"Model 10","2145","2"
"Actual","11123","3"
"Model 10","7306","4"
"Model 10","1565","4"
"Model 10","7091","2"
"Model 9","3737","4"
"Actual","1907","4"
"Model 10","4837","2"
"Model 10","12736","3"
"Model 10","14800","4"
"Model 9","7377","3"
"Actual","288","2"
"Model 10","6069","4"
"Actual","3491","4"
"Actual","4046","3"
"Model 9","14281","1"
"Actual","4804","3"
"Model 10","268","1"
"Model 9","10230","2"
"Model 9","2437","4"
"Model 9","9559","3"
"Actual","14921","1"
"Model 9","2627","4"
"Actual","13244","2"
"Model 10","12642","4"
"Model 9","2943","3"
"Actual","7504","1"
"Actual","13584","3"
"Model 10","3300","4"
"Model 10","9671","3"
"Model 10","11832","1"
"Actual","239","1"
"Model 10","3292","4"
"Actual","14715","2"
"Actual","10535","3"
"Actual","5947","4"
"Actual","589","2"
"Model 10","4702","4"
"Model 10","9500","4"
"Model 10","6208","1"
"Model 10","13813","3"
"Model 9","12565","4"
"Model 9","8089","2"
"Model 10","5078","3"
"Model 10","4089","4"
"Model 9","12712","1"
"Model 9","2739","2"
"Actual","6469","2"
"Actual","12519","1"
"Actual","6806","2"
"Model 9","9417","4"
"Model 9","5814","1"
"Actual","9879","2"
"Model 9","2564","2"
"Model 9","735","1"
"Actual","6776","3"
"Actual","2456","2"
"Model 9","550","3"
"Actual","4696","2"
"Model 10","1936","2"
"Model 10","2271","4"
"Model 10","12884","4"
"Actual","1465","3"
"Actual","428","1"
"Model 9","817","4"
"Actual","9691","2"
"Model 10","14180","4"
"Model 10","5650","4"
"Actual","2161","4"
"Actual","8358","4"
"Model 10","11145","3"
"Model 9","1436","4"
"Model 9","5369","3"
"Model 9","3780","4"
"Model 9","13536","1"
"Model 9","11695","1"
"Actual","4280","4"
"Actual","3038","4"
"Model 9","14686","1"
"Actual","1569","1"
"Actual","943","2"
"Actual","2820","2"
"Model 9","5871","2"
"Model 10","3741","3"
"Model 9","4017","1"
"Actual","6984","4"
"Actual","2164","1"
"Model 9","107","2"
"Model 9","8440","1"
"Actual","12559","4"
"Model 10","1610","3"
"Model 9","14664","4"
"Model 9","3570","1"
"Actual","7920","4"
"Model 10","1884","2"
"Actual","3564","1"
"Actual","7374","0"
"Model 9","3427","1"
"Actual","4677","4"
"Actual","7501","4"
"Model 10","863","4"
"Model 9","10708","4"
"Model 10","8515","1"
"Model 9","1216","2"
"Model 9","10467","3"
"Model 9","8630","4"
"Actual","2506","1"
"Actual","12610","3"
"Actual","14086","4"
"Actual","2869","3"
"Model 10","12643","2"
"Actual","9458","2"
"Model 9","4369","4"
"Model 10","7638","3"
"Model 10","4175","2"
"Model 9","7460","3"
"Model 9","3158","3"
"Actual","7860","3"
"Actual","9295","4"
"Model 10","11596","3"
"Model 9","8652","3"
"Model 10","1562","1"
"Model 9","691","2"
"Model 9","8790","4"
"Model 10","9193","4"
"Model 10","4248","3"
"Model 10","2378","1"
"Model 10","12431","4"
"Model 9","6375","2"
"Model 9","13499","1"
"Actual","3991","2"
"Model 9","8059","1"
"Model 9","11318","4"
"Model 9","2558","2"
"Model 10","2731","1"
"Model 9","6559","1"
"Model 9","1649","4"
"Actual","2257","1"
"Model 9","5377","2"
"Model 10","1790","1"
"Actual","5305","3"
"Model 9","2410","2"
"Model 10","14401","3"
"Model 10","2938","1"
"Model 10","14138","2"
"Model 10","12301","1"
"Actual","7192","4"
"Model 10","3491","2"
"Actual","7354","2"
"Actual","5583","2"
"Model 10","13508","2"
"Actual","5607","1"
"Actual","7666","2"
"Actual","12763","3"
"Model 9","8842","2"
"Model 9","14328","2"
"Model 9","7530","4"
"Model 9","14221","4"
"Model 9","10953","3"
"Actual","883","2"
"Model 10","13839","2"
"Model 10","11551","3"
"Model 9","7278","4"
"Actual","10893","1"
"Actual","6992","1"
"Actual","970","2"
"Actual","14521","1"
"Model 10","12848","1"
"Actual","932","1"
"Model 9","9094","4"
"Actual","10786","4"
"Model 9","484","1"
"Model 9","3498","4"
"Actual","12708","2"
"Model 10","10292","4"
"Model 10","1956","4"
"Model 10","5854","4"
"Actual","3383","1"
"Model 9","200","3"
"Actual","1961","3"
"Actual","2437","4"
"Actual","13474","2"
"Actual","552","4"
"Actual","4403","2"
"Actual","8974","2"
"Model 10","6209","2"
"Model 9","5132","3"
"Model 10","8695","1"
"Model 10","4222","4"
"Model 10","10025","3"
"Model 9","7715","2"
"Actual","4171","2"
"Model 9","5193","3"
"Model 10","1770","2"
"Model 10","9084","3"
"Actual","4426","3"
"Actual","4581","1"
"Model 9","9372","0"
"Model 10","9216","4"
"Model 10","3729","3"
"Model 10","9547","1"
"Actual","7313","1"
"Model 9","2868","1"
"Actual","8919","4"
"Actual","11792","1"
"Actual","9967","2"
"Actual","7480","4"
"Actual","13242","1"
"Actual","8960","2"
"Model 10","14954","1"
"Model 10","7986","4"
"Actual","636","4"
"Model 9","79","3"
"Actual","12694","1"
"Actual","3644","2"
"Model 10","2541","1"
"Model 10","6112","4"
"Model 10","5362","1"
"Model 10","502","4"
"Model 9","11882","1"
"Actual","998","2"
"Model 10","9910","2"
"Model 10","6915","2"
"Model 9","8645","1"
"Actual","5064","4"
"Model 10","11460","2"
"Actual","5118","1"
"Model 10","822","3"
"Model 9","13182","4"
"Model 9","6008","1"
"Model 10","6394","4"
"Model 10","9377","1"
"Model 9","734","1"
"Model 9","4288","2"
"Actual","12276","2"
"Actual","8517","2"
"Model 9","11201","4"
"Actual","296","1"
"Model 10","7814","1"
"Actual","10138","3"
"Model 9","5045","4"
"Actual","9506","1"
"Actual","8409","3"
"Model 9","12523","2"
"Model 10","6366","1"
"Actual","734","1"
"Model 10","5305","4"
"Model 10","3406","1"
"Model 10","1966","2"
"Actual","249","3"
"Model 9","13495","2"
"Model 9","7977","3"
"Actual","10497","4"
"Model 10","9545","3"
"Model 10","6024","4"
"Model 10","14156","1"
"Actual","9671","3"
"Actual","13172","4"
"Actual","13822","4"
"Actual","13932","4"
"Model 10","13453","2"
"Model 10","6680","2"
"Model 9","13172","4"
"Model 10","8861","3"
"Actual","10118","4"
"Actual","2399","0"
"Model 10","10328","2"
"Model 9","3323","3"
"Model 10","10021","1"
"Model 10","14624","4"
"Actual","7322","4"
"Actual","11795","4"
"Model 9","6491","4"
"Model 9","7736","4"
"Model 10","2277","1"
"Model 9","6127","1"
"Actual","7952","2"
"Model 10","7415","1"
"Model 10","6331","2"
"Model 9","9150","3"
"Model 10","10414","2"
"Model 9","4675","3"
"Model 10","8513","4"
"Actual","6098","2"
"Actual","4530","3"
"Model 9","8412","1"
"Model 10","6907","2"
"Actual","7136","4"
"Model 10","13762","4"
"Model 10","13935","4"
"Model 10","1569","2"
"Model 9","9999","1"
"Model 9","13267","1"
"Actual","7345","2"
"Model 10","9760","2"
"Model 10","5722","1"
"Model 9","5112","1"
"Model 10","13785","3"
"Model 10","3593","2"
"Model 10","7979","3"
"Actual","12353","2"
"Model 9","11549","1"
"Model 10","7158","4"
"Actual","8564","2"
"Model 10","8295","2"
"Model 10","14538","1"
"Model 10","2367","1"
"Model 10","820","1"
"Model 9","2939","1"
"Model 10","13310","4"
"Model 10","10386","4"
"Model 9","14138","2"
"Model 10","9886","1"
"Actual","6856","2"
"Model 9","11427","4"
"Model 9","2539","3"
"Model 10","308","2"
"Model 10","3203","4"
"Model 9","11310","2"
"Model 9","3916","4"
"Actual","10266","1"
"Model 10","10505","4"
"Model 10","1649","4"
"Model 9","12813","3"
"Model 9","7155","2"
"Model 10","14335","4"
"Actual","3697","3"
"Actual","3881","2"
"Actual","11756","4"
"Model 9","2356","3"
"Model 9","13484","1"
"Actual","8679","2"
"Model 10","2308","2"
"Model 10","13522","2"
"Model 9","10054","4"
"Model 9","1305","2"
"Actual","7800","2"
"Model 9","3985","3"
"Actual","11313","4"
"Actual","5073","4"
"Model 10","13961","2"
"Actual","3380","1"
"Model 9","9571","4"
"Model 10","11023","3"
"Model 10","13524","4"
"Actual","7679","4"
"Actual","3844","4"
"Actual","3832","2"
"Actual","6130","3"
"Model 10","11310","2"
"Model 9","7101","1"
"Model 9","9404","4"
"Actual","5393","1"
"Actual","3526","1"
"Model 10","8254","4"
"Model 9","3230","3"
"Model 9","840","4"
"Model 9","3167","4"
"Actual","5481","4"
"Model 9","1293","4"
"Model 9","3828","1"
"Actual","13149","3"
"Model 10","4535","4"
"Model 9","9253","4"
"Model 10","6327","4"
"Model 9","12498","2"
"Model 9","12605","4"
"Model 10","6134","4"
"Actual","11901","3"
"Actual","10584","2"
"Model 9","408","2"
"Model 9","510","2"
"Model 9","9817","2"
"Model 9","986","2"
"Actual","8630","3"
"Model 10","1465","2"
"Actual","12853","1"
"Actual","9738","1"
"Model 10","8134","2"
"Actual","6486","1"
"Actual","5241","0"
"Model 10","13821","4"
"Model 10","8838","2"
"Model 9","1720","2"
"Model 9","2303","3"
"Actual","4222","4"
"Actual","6692","1"
"Model 9","7107","3"
"Model 9","9286","3"
"Actual","9497","3"
"Model 10","1153","2"
"Model 10","10876","2"
"Actual","3764","3"
"Model 10","8977","2"
"Model 10","3807","4"
"Model 9","5078","3"
"Actual","12584","2"
"Model 9","9568","1"
"Model 10","639","1"
"Model 10","14813","4"
"Model 9","5265","3"
"Model 10","14630","2"
"Model 10","7319","4"
"Actual","14846","2"
"Model 10","4594","3"
"Model 9","1091","4"
"Actual","13463","2"
"Model 10","1117","4"
"Model 9","14235","4"
"Model 9","13843","4"
"Actual","3039","2"
"Model 9","3315","3"
"Actual","10325","3"
"Model 9","9779","3"
"Model 10","9978","4"
"Model 10","9551","1"
"Model 10","9536","2"
"Model 10","14577","4"
"Actual","3618","3"
"Model 9","2181","1"
"Actual","2052","1"
"Model 9","4357","2"
"Model 9","12230","1"
"Model 9","7471","4"
"Model 9","9339","3"
"Model 9","4893","1"
"Actual","689","4"
"Model 10","12902","1"
"Model 10","11737","2"
"Actual","14800","0"
"Actual","6513","2"
"Model 10","1295","3"
"Model 10","3342","3"
"Model 10","1898","1"
"Actual","11528","3"
"Model 10","2656","1"
"Actual","12246","2"
"Actual","13125","2"
"Model 9","4069","4"
"Actual","2712","4"
"Actual","4920","4"
"Model 9","12619","1"
"Model 9","2802","1"
"Model 9","4106","3"
